Type,Airline,Year,Month,Aircraft Number,Aircraft Hours,Aircraft Kilometres,Passenger Number,Passenger Kilometers,Seat Kilometers,Passenger Load Factor,Freight,Mail,Total Cargo,Passenger Tonne Kilometer,Mail Tonne Kilometer,Freight Tonne Kilometer,Total Tonne Kilometer,Available Tonne Kilometer,Weight Load Factor
ScheduledDomestic,Air India Express,2016,11,205,187.000,66.800,13865.000,6765.650,12423.870,54.457,22.020,0.060,22.080,424.620,4.140,0.090,428.850,619.390,69.237
ScheduledDomestic,Air India Express,2016,12,167,140.000,42.150,10308.000,5164.980,7839.340,65.885,22.020,0.060,22.080,424.620,4.140,0.090,428.850,619.390,69.237
ScheduledDomestic,Air India Express,2017,01,211,145.000,54.160,9970.000,5133.690,10073.200,50.964,56.960,0.000,56.960,402.660,8.840,0.000,411.500,850.980,48.356
ScheduledDomestic,Air India Express,2017,02,165,145.000,46.490,6105.000,3484.760,8646.210,40.304,45.220,0.000,45.220,513.880,6.610,0.000,520.490,1084.320,48.002
ScheduledDomestic,Air India Express,2017,03,156,136.000,41.310,5017.000,2931.600,7682.920,38.157,51.760,0.000,51.760,231.620,7.110,0.000,238.730,785.230,30.403
ScheduledDomestic,Air India Express,2017,04,150,194.000,38.270,6895.000,3327.270,7118.590,46.741,34.110,0.000,34.110,572.000,4.800,0.000,576.800,1064.770,54.171
ScheduledDomestic,Air India Express,2017,05,150,136.000,40.400,7818.000,3867.730,7515.140,51.466,17.830,0.000,17.830,163.070,2.440,0.000,165.510,445.880,37.120
ScheduledDomestic,Air India Express,2017,06,151,137.000,40.390,4174.000,2724.440,7512.350,36.266,40.670,0.000,40.670,194.700,5.590,0.000,200.290,781.900,25.616
ScheduledDomestic,Air India Express,2017,07,159,143.000,42.000,4723.000,3153.570,7811.440,40.371,45.070,0.000,45.070,245.480,6.320,0.000,251.800,688.180,36.589
ScheduledDomestic,Air India Express,2017,08,168,149.000,37.780,5224.000,3213.610,7027.820,45.727,55.360,0.000,55.360,255.060,7.760,0.000,262.820,736.200,35.700
ScheduledDomestic,Air India Express,2017,09,181,219.000,91.720,9559.000,9650.350,17058.990,56.570,37.900,0.000,37.900,758.860,5.920,0.000,764.780,1535.060,49.821
ScheduledDomestic,Air India Express,2017,10,208,316.000,144.230,13660.000,16565.789,26826.840,61.751,48.960,0.000,48.960,1281.630,7.270,0.000,1288.900,2262.310,56.973
ScheduledDomestic,Air India Express,2017,11,189,268.000,130.060,10515.000,13746.754,24190.970,56.826,51.760,0.000,51.760,994.550,11.280,0.000,1005.830,2015.940,49.894
ScheduledDomestic,Air India Express,2017,12,214,327.000,165.800,15888.000,19565.912,30838.000,63.447,50.480,0.000,50.480,1608.420,10.780,0.000,1619.200,2837.290,57.069
ScheduledDomestic,Air India Express,2018,01,211,307.000,176.020,16417.000,20280.397,32739.720,61.944,115.660,0.180,115.840,3623.420,42.120,0.350,3665.890,6597.870,55.562
ScheduledDomestic,Air India Express,2018,02,216,335.000,170.340,16920.000,21403.301,31683.980,67.552,54.800,0.001,54.801,1748.400,14.370,0.000,1762.770,3022.440,58.323
ScheduledDomestic,Air India Express,2018,03,243,372.800,187.170,18994.000,25180.800,34812.900,72.332,49.750,0.000,49.750,2039.470,10.990,0.000,2050.460,3352.810,61.156
ScheduledDomestic,Air India Express,2018,04,250,372.700,184.610,18590.000,22784.464,34336.716,66.356,21.339,0.029,21.368,1041.640,7.310,0.060,1049.010,1926.290,54.458
ScheduledDomestic,Air India Express,2018,05,240,336.900,186.500,17789.000,25441.600,34689.200,73.342,32.000,0.003,32.003,1980.800,12.400,0.000,1993.200,3124.700,63.789
ScheduledDomestic,Air India Express,2018,06,251,372.830,178.400,13637.000,21642.100,33181.800,65.223,11.500,0.000,11.500,1807.320,6.580,0.000,1813.900,3206.780,56.565
ScheduledDomestic,Air India Express,2018,07,252,396.670,178.740,14499.000,20645.000,33245.000,62.100,13.080,0.000,13.080,1674.980,15.640,0.000,1690.620,3122.130,54.150
ScheduledDomestic,Air India Express,2018,08,203,330.830,169.940,16703.000,21767.810,31609.210,68.865,7.577,0.000,7.577,1744.860,7.310,0.000,1752.170,2937.900,59.640
ScheduledDomestic,Air India Express,2018,09,226,360.670,181.050,15855.000,22424.954,33675.858,66.591,8.890,0.000,8.890,1813.222,5.455,0.000,1818.677,3118.477,58.319
ScheduledDomestic,Air India Express,2018,10,263,391.170,174.700,15386.000,18625.760,32494.010,57.321,47.140,0.047,47.187,1759.350,13.820,0.000,1773.170,3737.350,47.445
ScheduledDomestic,Air India Express,2018,11,292,431.820,199.112,17038.000,22344.562,37034.832,60.334,53.253,0.005,53.258,1806.400,11.260,0.000,1817.660,3567.220,50.955
ScheduledDomestic,Air India Express,2018,12,300,446.480,208.020,19040.000,25437.000,38692.000,65.742,63.139,0.020,63.159,2150.430,13.520,0.002,2163.952,3709.060,58.342
ScheduledDomestic,Air India Express,2019,01,294,440.570,204.160,18115.000,24981.000,37974.000,65.784,48.560,0.000,48.560,2083.670,7.920,0.000,2091.590,3748.940,55.792
ScheduledDomestic,Air India Express,2019,02,256,380.870,173.760,14354.000,20106.000,32319.000,62.211,63.841,0.000,63.841,1666.120,8.670,0.000,1674.790,3211.270,52.154
ScheduledDomestic,Air India Express,2019,03,277,401.040,188.330,13074.000,19537.000,35030.000,55.772,64.213,0.103,64.316,1590.790,12.130,0.200,1603.120,3383.820,47.376
ScheduledDomestic,Air India Express,2019,04,276,417.130,196.120,17066.000,23536.190,36477.580,64.522,41.300,0.008,41.308,1950.670,13.820,0.020,1964.510,3614.580,54.350
ScheduledDomestic,Air India Express,2019,05,291,442.960,203.858,15861.000,23121.102,37917.588,60.977,49.994,0.006,50.000,1865.167,12.064,0.012,1877.243,3722.075,50.435
ScheduledDomestic,Air India Express,2019,06,287,431.930,203.858,14298.000,21996.223,37917.588,58.011,82.442,0.115,82.557,1858.445,25.026,0.226,1883.697,3720.299,50.633
ScheduledDomestic,Air India Express,2019,07,293,456.620,206.207,12757.000,19534.966,38354.502,50.933,84.130,0.000,84.130,1667.926,19.820,0.000,1687.746,2237.624,75.426
ScheduledDomestic,Air India Express,2019,08,298,456.680,201.921,14903.000,22263.227,37557.306,59.278,49.119,0.004,49.123,1881.300,12.482,0.008,1893.791,2405.220,78.737
ScheduledDomestic,Air India Express,2019,09,286,436.990,196.775,13572.000,19985.596,36600.150,54.605,60.568,0.000,60.568,1698.671,13.705,0.000,1712.375,2244.218,76.302
ScheduledDomestic,Air India Express,2019,10,220,196.080,352.080,14043.000,21771.700,36470.880,59.696,89.610,0.000,89.610,1823.701,35.089,0.000,1858.790,3594.534,51.712
ScheduledDomestic,Air India Express,2019,11,286,433.190,198.016,16085.000,24318.410,36830.976,66.027,82.280,0.000,82.280,1942.549,26.681,0.000,1969.230,3535.497,55.699
ScheduledDomestic,Air India Express,2019,12,294,451.900,203.375,17955.000,27961.690,37827.750,73.918,76.325,0.000,76.325,2261.532,26.326,0.000,2287.858,3644.978,62.767
ScheduledDomestic,Air India Express,2020,01,293,448.960,203.850,15335.000,24825.521,37916.100,65.475,68.884,,68.884,2086.430,19.497,,2105.928,3749.451,56.166
ScheduledDomestic,Air India Express,2020,02,275,420.010,190.986,15345.000,24892.086,35523.396,70.072,90.626,0.003,90.629,2006.681,35.805,0.000,2042.486,3389.356,60.262
ScheduledDomestic,Air India Express,2020,03,200,313.250,146.686,10072.000,15576.903,27283.596,57.093,68.282,0.004,68.286,1249.280,15.459,0.008,1264.747,1270.559,99.543
ScheduledDomestic,Air India Express,2020,05,29,46.210,23.050,332.000,624.000,4288.000,14.552,0.003,,0.003,33.520,,,33.520,33.800,99.172
ScheduledDomestic,Air India Express,2020,06,67,162.900,89.306,3244.000,5217.326,16610.916,31.409,6.379,,6.379,404.013,10.514,,414.527,492.076,84.240
ScheduledDomestic,Air India Express,2020,07,53,135.770,77.218,1732.000,2729.504,14362.548,19.004,3.757,,3.757,194.602,6.826,,201.428,249.292,80.800
ScheduledDomestic,Air India Express,2020,08,29,65.630,35.542,1361.000,1990.216,14362.548,13.857,3.641,,3.641,148.228,4.822,,153.051,185.640,82.445
ScheduledDomestic,Air India Express,2020,09,26,70.020,40.096,999.000,1579.158,7457.856,21.174,3.439,,3.439,128.138,6.129,,134.267,162.990,82.378
ScheduledDomestic,Air India Express,2020,10,38,102.700,60.658,1786.000,3096.958,11282.388,27.449,18.422,,18.422,261.181,34.813,,295.995,347.191,85.254
ScheduledDomestic,Air India Express,2020,11,66,182.080,106.868,3990.000,6851.065,19877.448,34.467,65.084,0.062,65.146,513.604,125.203,0.120,638.927,735.830,86.831
ScheduledDomestic,Air India Express,2020,12,55,151.540,89.246,3834.000,6301.654,16599.756,37.962,25.053,0.043,25.096,494.252,43.405,0.083,537.740,642.909,83.642
ScheduledDomestic,Air India Express,2021,01,44,131.210,78.368,3075.000,5566.496,14576.448,38.188,9.963,,9.963,1230.635,9.530,,1240.166,1433.966,86.485
ScheduledDomestic,Air India Express,2021,02,28,84.950,50.048,1712.000,3138.000,9309.000,33.709,6.267,,6.267,234.627,12.924,,247.551,297.749,83.141
ScheduledDomestic,Air India Express,2021,03,16,50.040,29.683,689.000,1306.000,5521.000,23.655,7.257,,7.257,125.995,15.005,,141.000,175.772,80.217
ScheduledDomestic,Air India Express,2021,10,4,12.280,3.884,271.000,518.514,722.424,71.774,1.960,,1.960,75.592,3.335,0.000,78.927,104.969,75.191
ScheduledDomestic,Air India Express,2021,11,76,202.910,118.582,7517.000,11480.755,22056.252,52.052,17.082,0.507,17.589,896.474,33.402,0.984,930.859,1111.574,83.742
ScheduledDomestic,Air India Express,2021,12,70,183.710,106.120,7314.000,10888.549,19738.320,55.165,16.541,1.826,18.367,723.395,32.190,3.542,759.128,873.405,86.916
ScheduledDomestic,Air India Express,2022,01,36,95.460,56.502,2514.000,3934.142,10509.372,37.435,6.779,0.911,7.690,270.376,13.226,1.767,285.370,334.319,85.358
ScheduledDomestic,Air India Express,2022,03,4,5.930,2.848,277.000,190.816,529.728,36.022,,,,14.381,0.000,0.000,14.381,16.009,89.833
ScheduledDomestic,Air India Express,2022,04,26,40.300,18.512,2372.000,1681.032,3443.232,48.821,,,,98.553,0.000,0.000,98.553,110.894,88.871
ScheduledDomestic,Air India Express,2022,05,26,41.590,18.512,3227.000,2287.656,3443.232,66.439,,,,146.820,0.000,0.000,146.820,167.149,87.838
ScheduledDomestic,Air India Express,2022,06,22,34.417,15.664,1912.000,1346.392,2913.504,46.212,0.000,,0.000,43.398,0.000,0.000,43.398,49.867,87.027
ScheduledDomestic,Air India Express,2022,10,8,12.200,5.696,972.000,684.944,1059.456,64.651,0.000,,0.000,45308.120,10455.720,,55763.840,103453.600,53.902
ScheduledDomestic,Air India Express,2023,09,173,316.470,147.220,23727.000,20893.170,27382.660,76.301,3.597,,3.597,280.790,4.250,0.000,285.040,375.380,75.934
ScheduledDomestic,Air India Express,2023,10,731,1223.000,571.028,106111.000,87592.316,106211.140,82.470,40.210,,40.210,7157.987,26.171,0.000,7184.158,9899.610,72.570
ScheduledDomestic,Air India Express,2023,11,1036,1854.817,4.061,145064.000,137357.158,170747.759,80.444,265.631,,265.631,10301.787,182.084,,10483.871,18776.900,55.834
ScheduledDomestic,Air India Express,2023,12,1398,2481.000,1194.000,204851.000,184082.959,220696.393,83.410,258.004,,258.004,13806.222,325.327,0.000,14131.549,24399.900,57.916
ScheduledDomestic,Air India Express,2024,01,1824,3216.683,1581.041,262203.000,234850.598,282903.558,83.014,436.789,,436.789,17551.055,185.275,,17736.329,31620.820,56.091
ScheduledDomestic,Air India Express,2024,02,2032,3566.000,1748.057,284271.000,252814.090,310031.770,81.545,471.757,,471.757,18961.057,544.247,,19505.304,34961.140,55.791
ScheduledDomestic,Air India Express,2024,03,2499,4609.633,2358.713,338108.000,328731.971,412689.656,79.656,435.427,0.000,435.427,17010.275,231.059,0.000,17241.334,40932.380,42.122
ScheduledDomestic,Air India Express,2024,04,2976,5348.733,2768.680,422278.000,399775.241,486169.165,82.230,738.995,0.000,738.995,15596.510,972.927,0.000,16569.437,55373.600,29.923
ScheduledDomestic,Air India Express,2024,05,2233,4168.567,1647.297,328320.000,328669.004,388785.568,84.537,820.997,0.000,820.997,32866.900,734.000,0.000,33600.900,44186.140,76.044
ScheduledDomestic,Air India Express,2024,06,2844,5302.067,2802.503,423233.000,426312.631,492057.232,86.639,645.950,,645.950,42631.263,517.522,0.000,43148.786,56050.060,76.983
ScheduledDomestic,Air India Express,2024,07,2283,4014.783,2140.715,317746.000,308142.391,376319.538,81.883,995.400,,995.400,30814.239,1285.453,,32099.693,42814.300,74.974
ScheduledDomestic,Air India Express,2024,08,3094,5252.283,2970.717,408361.000,400051.181,521013.768,76.783,1039.861,,1039.861,40005.118,1333.078,0.000,41338.196,59414.340,69.576
ScheduledDomestic,Air India Express,2024,09,3859,6731.533,3498.427,517124.000,497116.012,645594.897,77.001,2848.764,,2848.764,49711.601,3460.492,,53172.094,73451.780,72.390
ScheduledDomestic,Air India Express,2024,10,8193,15390.083,8278.033,1177057.000,1202927.878,1475040.954,81.552,2518.538,,2518.538,120292.788,2412.101,,122704.889,165560.660,74.115
ScheduledDomestic,Air India Express,2024,11,7951,14771.700,7888.964,1221495.000,1233703.562,1404026.356,87.869,3534.785,0.000,3534.785,123370.356,4185.903,0.000,127556.259,157779.280,80.845
ScheduledDomestic,Air India Express,2024,12,8714,16177.250,8636.586,1342308.000,1342337.928,1544459.389,86.913,4304.087,174.441,4478.528,134233.793,4163.681,135.587,138533.060,172731.729,80.201
ScheduledDomestic,Air India Express,2025,01,8829,16751.283,8965.413,1335289.000,1368801.540,1603964.651,85.339,4902.984,,4902.984,136880.154,6103.858,,142984.012,179308.258,79.742
ScheduledDomestic,Air India Express,2025,02,9362,17713.133,9478.901,1423613.000,1464138.102,1690841.602,86.592,2393.510,,2393.510,146413.810,3038.462,,149452.272,189578.015,78.834
ScheduledDomestic,Air India Express,2025,03,11068,20987.867,11211.273,1575238.000,1617039.843,2001710.966,80.783,4967.242,,4967.242,161703.984,5853.432,,167557.416,224225.456,74.727
ScheduledDomestic,Air India Express,2025,04,11433,21807.350,11611.745,1709127.000,1760620.766,2074569.931,84.867,5361.749,,5361.749,176062.077,7050.817,,183112.894,232234.905,78.848
ScheduledDomestic,Air Odisha,2018,02,8,22.240,2.300,42.000,12.500,42.750,29.240,0.000,0.000,0.000,10.630,0.000,0.000,10.630,42.750,24.865
ScheduledDomestic,Air Odisha,2018,03,16,12.500,4.720,75.000,22.260,84.960,26.201,0.000,0.000,0.000,18.800,0.000,0.000,18.800,118.000,15.932
ScheduledDomestic,Air Odisha,2018,04,134,74.000,31.284,666.000,138.419,531.828,26.027,0.000,0.000,0.000,292.700,0.000,0.000,292.700,1038.100,28.196
ScheduledDomestic,Air Odisha,2018,05,156,99.210,34.917,867.000,190.320,593.589,32.063,0.000,0.000,0.000,172.500,0.000,0.000,172.500,4600.000,3.750
ScheduledDomestic,Air Odisha,2018,06,72,92.390,21.912,468.000,124.751,372.504,33.490,0.000,0.000,0.000,249.502,0.000,0.000,249.502,3632.000,6.870
ScheduledDomestic,Air Odisha,2018,07,24,30.000,7.264,186.000,7.264,108.460,6.697,0.000,0.000,0.000,544.340,0.000,0.000,544.340,7642.000,7.123
ScheduledDomestic,Air Odisha,2018,08,146,92.390,29.263,553.000,124.060,497.471,24.938,0.000,0.000,0.000,1054.510,0.000,0.000,1054.510,8232.000,12.810
ScheduledDomestic,Air Odisha,2018,09,64,,,295.000,,,0.000,,,,,,,,,0.000
ScheduledDomestic,Air Odisha,2018,10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ScheduledDomestic,Air Odisha,2018,11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ScheduledDomestic,Air Odisha,2018,12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ScheduledDomestic,Air Pegasus,2015,05,124,151.000,55.800,6348.000,2871.000,3683.000,77.953,0.000,0.000,0.000,199.376,0.000,0.000,199.376,295.084,67.566
ScheduledDomestic,Air Pegasus,2015,06,196,243.050,87.200,9353.000,4210.400,5757.100,73.134,60.450,0.000,60.450,301.901,27.288,0.000,329.190,476.206,69.128
ScheduledDomestic,Air Pegasus,2015,07,234,272.000,101.180,10749.000,4775.705,6677.880,71.515,70.380,0.000,70.380,347.030,31.390,0.000,378.420,558.960,67.701
ScheduledDomestic,Air Pegasus,2015,08,292,335.430,127.020,14480.000,6305.010,8180.000,77.078,103.940,0.000,103.940,1021.640,103.940,0.000,1125.580,1631.150,69.005
ScheduledDomestic,Air Pegasus,2015,09,318,365.240,133.174,15271.000,6401.000,8741.000,73.230,92.190,0.000,92.190,1112.050,92.190,0.000,1204.240,1795.370,67.075
ScheduledDomestic,Air Pegasus,2015,10,383,428.140,158.850,19484.000,8089.000,10466.000,77.288,128.511,0.000,128.511,1411.360,52.758,0.000,1464.118,2279.510,64.230
ScheduledDomestic,Air Pegasus,2015,11,440,480.000,176.220,22296.000,9081.074,11630.520,78.080,147.172,0.000,147.172,1617.380,59.417,0.000,1676.797,2634.170,63.656
ScheduledDomestic,Air Pegasus,2015,12,384,424.020,156.878,20554.000,8516.000,10308.000,82.615,150.380,0.000,150.380,638.000,62.000,0.000,700.000,942.000,74.310
ScheduledDomestic,Air Pegasus,2016,01,428,464.240,172.326,23487.000,9528.310,11373.520,83.776,150.160,0.000,150.160,679.090,61.290,0.000,740.380,1015.980,72.873
ScheduledDomestic,Air Pegasus,2016,02,340,371.140,138.000,19135.000,7789.240,9118.960,85.418,113.670,0.000,113.670,555.850,46.430,0.000,602.280,824.950,73.008
ScheduledDomestic,Air Pegasus,2016,03,284,325.100,118.110,14420.000,5968.400,7795.400,76.563,84.560,0.000,84.560,455.010,35.100,0.000,490.110,688.320,71.204
ScheduledDomestic,Air Pegasus,2016,04,398,442.750,161.660,20385.000,8338.090,10676.290,78.099,122.700,0.000,122.700,568.120,49.870,0.000,617.990,893.770,69.144
ScheduledDomestic,Air Pegasus,2016,05,398,445.850,153.290,21015.000,8661.540,10822.740,80.031,143.140,0.000,143.140,643.000,58.310,0.000,701.310,933.360,75.138
ScheduledDomestic,Air Pegasus,2016,06,278,306.683,110.900,14296.000,5457.340,7256.170,75.210,89.880,0.000,89.880,404.000,35.390,0.000,439.390,660.200,66.554
ScheduledDomestic,Air Pegasus,2016,07,256,274.383,100.580,14231.000,5530.000,6587.200,83.951,92.280,0.000,92.280,397.000,35.440,0.000,432.440,602.450,71.780
ScheduledDomestic,Air Pegasus,2016,08,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ScheduledDomestic,Air Pegasus,2016,09,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ScheduledDomestic,Air Pegasus,2016,10,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ScheduledDomestic,Air Pegasus,2016,11,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ScheduledDomestic,Air Pegasus,2016,12,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ScheduledDomestic,Air Taxi,2021,01,24,23.670,5.510,27.000,6.199,16.531,37.499,0.000,0.000,0.000,0.465,0.000,0.000,0.465,6.778,6.860
ScheduledDomestic,Air Taxi,2021,02,125,135.000,29.792,77.000,18.890,89.377,21.135,0.000,0.000,0.000,1.786,0.000,0.000,1.786,36.644,4.874
ScheduledDomestic,Air Taxi,2021,03,114,139.730,29.687,79.000,19.750,89.060,22.176,,,,1.483,,,1.483,36.515,4.061
ScheduledDomestic,Air Taxi,2021,04,34,38.270,9.129,31.000,8.130,27.390,29.682,,,,0.610,,,0.610,11.229,5.432
ScheduledDomestic,Air Taxi,2021,05,72,80.440,19.347,82.000,21.810,58.040,37.578,,,,1.640,,,1.640,23.797,6.892
ScheduledDomestic,Air Taxi,2021,06,59,74.450,17.123,56.000,16.580,51.370,32.276,,,,1.240,,,1.240,21.061,5.888
ScheduledDomestic,Air Taxi,2021,07,48,62.050,13.926,52.000,15.687,41.779,37.548,,,,1.177,,,1.177,17.129,6.871
ScheduledDomestic,Air Taxi,2021,08,1,0.917,0.230,,,0.689,0.000,,,,,,,,0.282,0.000
ScheduledDomestic,AirAsia India,2015,01,598,784.400,501.000,81434.000,68778.000,90176.000,76.271,529.300,0.000,529.300,5803.100,619.400,0.000,6422.500,13461.900,47.709
ScheduledDomestic,AirAsia India,2015,02,526,725.500,462.000,72278.000,64777.000,83205.000,77.852,555.400,0.000,555.400,5427.800,686.500,0.000,6114.300,12421.300,49.224
ScheduledDomestic,AirAsia India,2015,03,546,750.500,485.000,68790.000,62519.000,87226.000,71.675,535.100,0.000,535.100,5222.500,653.900,0.000,5876.400,13021.500,45.128
ScheduledDomestic,AirAsia India,2015,04,536,749.500,492.000,72313.000,65906.000,88569.000,74.412,450.800,0.000,450.800,5513.700,668.700,0.000,6182.400,13222.100,46.758
ScheduledDomestic,AirAsia India,2015,05,646,997.100,656.000,93778.000,96130.000,118160.000,81.356,660.400,0.000,660.400,8081.900,1001.900,0.000,9083.800,22372.200,40.603
ScheduledDomestic,AirAsia India,2015,06,846,1413.300,953.000,125721.000,144151.000,171612.000,83.998,1067.500,0.000,1067.500,12146.300,1476.900,0.000,13623.200,25619.100,53.176
ScheduledDomestic,AirAsia India,2015,07,989,1589.400,1074.000,142636.000,155029.000,193235.000,80.228,1150.500,0.000,1150.500,12963.700,1549.200,0.000,14512.900,28847.100,50.310
ScheduledDomestic,AirAsia India,2015,08,1026,1631.300,1112.000,134408.000,144349.000,200152.000,72.120,1438.000,0.000,1438.000,12074.100,1716.100,0.000,13790.200,29879.800,46.152
ScheduledDomestic,AirAsia India,2015,09,1017,1599.800,1097.000,124861.000,133601.000,197384.000,67.686,1067.600,0.000,1067.600,11108.700,1484.300,0.000,12593.000,29466.400,42.737
ScheduledDomestic,AirAsia India,2015,10,1048,1600.000,1125.000,150139.000,163238.000,202527.000,80.601,1067.700,0.000,1067.700,13663.300,1551.900,0.000,15215.200,30234.200,50.324
ScheduledDomestic,AirAsia India,2015,11,1098,1446.000,1213.000,161812.000,181137.000,218283.000,82.983,955.000,0.000,955.000,15270.000,1360.000,0.000,16630.000,32586.000,51.034
ScheduledDomestic,AirAsia India,2015,12,1230,1726.000,1390.000,181483.000,206958.000,250168.000,82.728,1106.000,0.000,1106.000,17610.000,1591.000,0.000,19201.000,37346.000,51.414
ScheduledDomestic,AirAsia India,2016,01,1196,1667.000,1343.000,174996.000,198046.000,241751.000,81.921,1002.000,0.000,1002.000,16665.000,1443.000,0.000,18108.000,36090.000,50.175
ScheduledDomestic,AirAsia India,2016,02,1084,1526.000,1211.000,166829.000,189144.000,217977.000,86.772,1094.000,0.000,1094.000,15884.000,1452.000,0.000,17336.000,32541.000,53.274
ScheduledDomestic,AirAsia India,2016,03,1216,2043.000,1378.000,176832.000,205005.000,247991.000,82.666,1021.000,0.000,1021.000,17175.000,1488.000,0.000,18663.000,37021.000,50.412
ScheduledDomestic,AirAsia India,2016,04,1110,1813.000,1226.000,167422.000,187232.000,220757.000,84.814,1001.000,0.000,1001.000,15704.000,1413.000,0.000,17117.000,32956.000,51.939
ScheduledDomestic,AirAsia India,2016,05,1218,2050.000,1382.000,190379.000,215828.000,248765.000,86.760,982.000,0.000,982.000,18004.000,1413.000,0.000,19417.000,37137.000,52.285
ScheduledDomestic,AirAsia India,2016,06,1080,1863.000,1265.000,173192.000,205349.000,227723.000,90.175,912.000,0.000,912.000,17150.000,911.600,0.000,18061.600,33996.000,53.129
ScheduledDomestic,AirAsia India,2016,07,1232,2084.000,1409.000,190509.000,217444.000,253660.000,85.723,1278.000,0.000,1278.000,18139.000,1278.100,0.000,19417.100,37868.000,51.276
ScheduledDomestic,AirAsia India,2016,08,1236,2094.000,1415.000,187620.000,212354.000,254783.000,83.347,1200.000,0.000,1200.000,17623.000,1078.900,0.000,18701.900,38035.000,49.170
ScheduledDomestic,AirAsia India,2016,09,1260,2119.000,1433.000,187920.000,213672.000,257982.000,82.824,1114.000,0.000,1114.000,17562.000,1114.100,0.000,18676.100,38513.000,48.493
ScheduledDomestic,AirAsia India,2016,10,1666,2547.000,1622.000,235607.000,239585.000,306077.000,78.276,1139.000,0.000,1139.000,19631.000,1139.000,0.000,20770.000,45693.000,45.456
ScheduledDomestic,AirAsia India,2016,11,1634,2434.000,1596.000,251322.000,249659.000,287257.000,86.911,758.000,0.000,758.000,20589.000,756.000,0.000,21345.000,42883.000,49.775
ScheduledDomestic,AirAsia India,2016,12,1816,2705.000,1785.000,277261.000,277173.000,321267.000,86.275,0.000,0.000,0.000,22875.000,0.000,0.000,22875.000,47960.000,47.696
ScheduledDomestic,AirAsia India,2018,01,3264,4686.000,3007.000,489432.000,457114.000,541171.000,84.468,1449.000,0.000,1449.000,37889.000,1743.000,0.000,39632.000,80789.000,49.056
ScheduledDomestic,AirAsia India,2018,02,2933,5233.000,2715.000,455887.000,430094.000,488681.000,88.011,1435.500,0.000,1435.500,35549.000,1617.400,0.000,37166.400,72952.700,50.946
ScheduledDomestic,AirAsia India,2018,03,3625,6370.800,3269.200,523568.000,482817.900,588452.800,82.049,1803.800,0.000,1803.800,39830.000,2038.200,0.000,41868.200,87847.200,47.660
ScheduledDomestic,AirAsia India,2018,04,3731,6722.200,3495.000,579203.000,550403.700,629101.800,87.490,1941.600,0.000,1941.600,45550.000,2208.300,0.000,47758.300,93915.500,50.852
ScheduledDomestic,AirAsia India,2018,05,4078,7299.700,3786.800,647586.000,611718.100,681756.700,89.727,2143.700,0.000,2143.700,50794.500,2373.000,0.000,53167.500,102028.000,52.111
ScheduledDomestic,AirAsia India,2018,06,3849,12364.700,3711.600,600731.000,594715.200,803248.700,74.039,2110.800,0.000,2110.800,49454.800,2362.500,0.000,51817.300,98606.300,52.550
ScheduledDomestic,AirAsia India,2018,07,3885,12459.800,3824.600,557633.000,556996.300,692899.900,80.386,2702.500,0.000,2702.500,45940.500,3186.500,0.000,49127.000,102515.900,47.921
ScheduledDomestic,AirAsia India,2018,08,3916,7443.650,3788.570,537079.000,550158.290,718207.740,76.602,2900.131,0.000,2900.131,45262.010,3485.570,0.000,48747.580,107620.420,45.296
ScheduledDomestic,AirAsia India,2018,09,3861,12077.000,3709.870,498138.000,490208.020,688614.300,71.188,2657.310,0.000,2657.310,39366.090,3109.660,0.000,42475.750,100673.190,42.192
ScheduledDomestic,AirAsia India,2018,10,4315,7995.080,4001.710,643358.000,635667.400,759506.760,83.695,2697.400,0.000,2697.400,48136.650,3200.700,0.000,51337.350,113382.970,45.278
ScheduledDomestic,AirAsia India,2018,11,3969,7323.780,3733.440,617740.000,613381.530,695250.000,88.225,2286.873,0.000,2286.873,51228.030,2649.510,0.000,53877.540,103790.400,51.910
ScheduledDomestic,AirAsia India,2018,12,4213,7726.650,3840.430,673179.000,654723.770,730517.400,89.625,2347.426,0.000,2347.426,54753.950,2735.730,0.000,57489.680,109055.290,52.716
ScheduledDomestic,AirAsia India,2019,01,4190,7626.430,4437.720,666971.000,714801.970,798789.060,89.486,2020.240,0.000,2020.240,59710.680,2482.070,0.000,62192.750,117041.410,53.137
