Year,Quarter,Airline,PaxToIndiaM1,PaxFromIndiaM1,FreightToIndiaM1,FreightFromIndiaM1,PaxToIndiaM2,PaxFromIndiaM2,FreightToIndiaM2,FreightFromIndiaM2,PaxToIndiaM3,PaxFromIndiaM3,FreightToIndiaM3,FreightFromIndiaM3
18,1,AUSTRIAN AIRLINES,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
18,2,AUSTRIAN AIRLINES,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
22,3,AZERBAIJAN AIRLINES,0,0,0.00,0.00,0,0,0.00,0.00,461,420,0.00,0.00
22,4,AZERBAIJAN AIRLINES,409,404,0.00,0.00,1328,926,0.00,0.00,1285,1164,0.00,0.00
23,2,AZERBAIJAN AIRLINES,805,857,0.00,18.04,1676,1668,0.00,45.19,2155,1993,0.00,24.30
23,3,AZERBAIJAN AIRLINES,1599,1366,0.00,18.05,2322,2124,0.01,17.99,1847,1957,0.00,18.57
23,4,AZERBAIJAN AIRLINES,1690,1816,0.00,34.30,1426,1390,0.00,22.41,1934,1826,0.00,11.81
24,1,AZERBAIJAN AIRLINES,1191,1669,0.00,7.12,1779,1957,0.00,7.95,1637,1916,0.00,4.69
24,2,AZERBAIJAN AIRLINES,1794,1973,0.00,26.34,2272,2353,0.00,16.56,2514,2533,0.00,29.75
15,1,BANGKOK AIRWAYS,3924,4094,3.04,65.79,3383,3562,10.19,58.34,3429,3329,5.09,84.20
15,2,BANGKOK AIRWAYS,3409,3638,6.76,58.31,3951,4471,3.59,54.87,3968,3748,5.03,38.64
15,3,BANGKOK AIRWAYS,3664,3724,6.01,48.96,3510,3510,1.26,67.62,2441,2730,5.83,49.10
15,4,BANGKOK AIRWAYS,3304,3201,66.06,2.30,4342,4168,55.70,0.00,4880,4829,0.00,44.83
16,1,BANGKOK AIRWAYS,4477,4538,0.72,60.58,3707,3803,0.20,47.11,3948,3888,1.40,48.64
16,2,BANGKOK AIRWAYS,3597,3893,1.72,46.11,4550,4755,1.64,35.44,3566,3124,0.16,36.00
16,3,BANGKOK AIRWAYS,3432,3637,0.43,56.45,3291,3353,0.00,46.18,2659,3161,1.20,24.60
16,4,BANGKOK AIRWAYS,2409,2991,1.89,42.56,3815,3863,0.07,29.93,4091,4482,0.00,42.15
17,1,BANGKOK AIRWAYS,4037,4172,0.17,33.38,3791,3674,37.16,0.21,3411,3605,44.99,0.11
17,2,BANGKOK AIRWAYS,3336,4078,0.46,49.29,4589,4715,0.13,37.77,4363,4108,0.02,29.41
17,3,BANGKOK AIRWAYS,4137,3863,0.52,54.80,3359,3068,0.32,46.45,2627,3010,0.42,54.94
17,4,BANGKOK AIRWAYS,3527,3772,1.35,58.40,4156,3940,7.93,32.91,4508,4543,37.46,4.76
18,1,BANGKOK AIRWAYS,4009,4130,0.24,29.72,3376,3479,38.36,3.38,3542,3253,1.52,64.02
18,2,BANGKOK AIRWAYS,3359,3393,2.77,68.42,4347,4621,3.60,65.13,4419,3909,4.32,62.38
18,3,BANGKOK AIRWAYS,3475,2958,9.99,54.01,3045,3011,7.12,89.14,2542,2697,14.35,71.14
18,4,BANGKOK AIRWAYS,2675,2180,4.03,100.86,3856,3957,8.81,68.67,4460,4236,11.42,85.92
19,1,BANGKOK AIRWAYS,4144,3656,6.05,75.85,2914,2751,5.47,76.80,4088,3638,2.65,83.79
19,2,BANGKOK AIRWAYS,4137,4427,2.22,51.77,4670,4754,2.04,61.35,4413,3851,2.21,55.76
19,3,BANGKOK AIRWAYS,3456,2645,2.31,684.47,3103,2694,5.30,48.44,1826,1406,3.29,67.53
19,4,BANGKOK AIRWAYS,1760,2275,4.52,86.34,2611,3649,80.35,12.13,4291,3716,7.87,61.57
20,1,BANGKOK AIRWAYS,3157,2566,13.39,56.60,1537,2079,58.17,25.11,448,123,3.42,25.10
17,3,BATIK AIR,745,770,0.00,0.13,3985,3280,0.00,0.00,5294,6564,0.00,0.00
17,4,BATIK AIR,5312,6280,0.00,0.00,7207,5678,0.00,0.00,8725,8946,0.00,0.00
18,1,BATIK AIR,8560,9298,0.00,0.00,6844,7390,0.00,0.00,7491,7664,0.00,0.00
18,2,BATIK AIR,7176,8147,0.00,0.00,9490,8274,0.00,0.00,8974,7093,0.00,0.00
18,3,BATIK AIR,9770,9319,0.00,0.00,9199,8508,0.00,1.09,6610,7053,1.46,13.22
18,4,BATIK AIR,5867,4768,1.32,15.34,7214,5453,0.81,14.53,8854,7904,0.80,15.59
19,1,BATIK AIR,4991,5012,1.41,13.35,3832,4535,1.23,9.67,3871,4122,2.85,9.42
19,2,BATIK AIR,3626,4590,1.02,21.08,5031,4707,1.70,16.97,4777,4324,1.12,11.41
19,3,BATIK AIR,4643,2222,14.52,16.97,4240,4469,0.81,35.59,4462,4462,0.82,12.63
19,4,BATIK AIR,4353,3995,0.52,17.95,4497,3725,0.37,2.51,5040,4397,0.64,2.98
20,1,BATIK AIR,4484,4603,0.36,11.27,3098,3898,0.51,12.59,1118,914,9.25,0.12
23,4,BATIK AIR,3300,3427,0.00,0.00,3767,3185,0.00,8.29,3886,3703,0.00,6.93
24,1,BATIK AIR,3699,4370,0.00,13.67,3727,3935,0.00,30.61,2423,2790,0.00,5.88
24,2,BATIK AIR,2810,3599,0.00,1.69,4252,3893,0.00,7.08,4067,3538,0.00,11.83
15,1,BHUTAN AIRLINES,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
15,2,BHUTAN AIRLINES,2047,1908,0.00,0.00,2649,2613,0.00,0.00,1554,1366,0.00,0.00
15,3,BHUTAN AIRLINES,1343,1306,0.00,0.00,1737,1749,0.00,0.00,1917,2065,0.00,0.00
15,4,BHUTAN AIRLINES,2513,2379,0.00,0.00,2834,2348,0.00,0.00,1775,1911,0.00,0.00
16,1,BHUTAN AIRLINES,1527,1331,0.00,0.00,1382,1382,0.00,0.64,2284,2273,0.00,0.00
16,2,BHUTAN AIRLINES,2212,2351,0.00,0.00,3547,3995,0.00,0.00,2468,2178,0.00,0.00
16,3,BHUTAN AIRLINES,1262,1103,0.00,0.00,1531,1596,0.00,0.00,1749,1841,0.00,0.00
16,4,BHUTAN AIRLINES,2051,2063,0.00,0.00,1675,1358,0.00,0.00,1144,1125,0.00,0.00
17,1,BHUTAN AIRLINES,718,520,0.00,0.00,876,817,0.00,0.00,1546,1571,0.00,0.00
17,2,BHUTAN AIRLINES,1290,1326,0.00,0.00,2065,2205,0.00,0.00,1644,1199,0.00,0.00
17,3,BHUTAN AIRLINES,851,688,0.00,0.00,810,840,0.00,0.00,953,1528,0.00,0.00
17,4,BHUTAN AIRLINES,2256,1423,0.00,0.00,2202,1375,0.00,0.00,1220,1238,0.00,0.00
18,1,BHUTAN AIRLINES,1253,961,0.00,0.00,1037,864,0.00,0.00,1636,1843,0.00,0.00
18,2,BHUTAN AIRLINES,2347,2321,0.00,0.00,1636,1843,0.00,0.00,2670,1779,0.00,0.00
18,3,BHUTAN AIRLINES,1173,928,0.00,0.00,1344,1547,0.00,0.00,1851,1963,0.00,0.00
18,4,BHUTAN AIRLINES,2941,2781,0.00,0.00,2212,1779,0.00,0.00,1269,1462,0.00,0.00
19,1,BHUTAN AIRLINES,2012,2004,0.00,0.00,1632,1882,0.00,0.00,1657,1939,0.00,0.00
19,2,BHUTAN AIRLINES,2285,2429,0.00,0.00,3553,3564,0.00,0.00,3314,2300,0.00,0.00
19,4,BHUTAN AIRLINES,2870,2703,0.00,0.00,2679,2270,0.00,0.00,1934,2064,0.00,3.89
20,1,BHUTAN AIRLINES,1553,1171,0.00,0.08,1164,1323,0.00,1.20,510,375,0.00,0.00
22,4,BHUTAN AIRLINES,570,642,0.00,0.00,940,839,0.00,0.00,570,590,0.00,0.00
23,1,BHUTAN AIRLINES,267,157,0.00,0.00,361,416,0.00,0.00,556,533,0.00,0.00
23,2,BHUTAN AIRLINES,733,769,0.00,0.00,1837,1762,0.00,0.00,1380,1252,0.00,0.00
23,3,BHUTAN AIRLINES,1312,1281,0.00,0.00,1221,1360,0.00,0.00,2398,656,0.00,0.00
23,4,BHUTAN AIRLINES,2416,2234,0.00,0.00,2147,1878,0.00,0.00,2258,1297,0.00,0.00
24,1,BHUTAN AIRLINES,2712,2782,0.00,0.00,1930,2125,0.00,0.00,2550,2950,0.00,0.00
24,2,BHUTAN AIRLINES,2364,2675,0.00,0.00,3660,3792,0.00,0.00,3751,2847,0.00,0.00
15,1,BIMAN BANGLADESH,2313,2950,0.18,66.32,4178,4290,0.08,10.59,4086,4519,0.17,47.37
15,2,BIMAN BANGLADESH,2969,3498,0.57,3.37,2969,3498,0.20,5.74,2952,7909,0.05,1.74
15,3,BIMAN BANGLADESH,3509,3008,0.02,1.78,2902,3297,0.24,0.17,3055,2954,0.05,2.89
15,4,BIMAN BANGLADESH,2783,3573,0.01,0.17,6588,6698,4.07,4.38,7061,7082,5.54,5.71
16,1,BIMAN BANGLADESH,6582,5580,0.00,0.00,5493,6092,0.00,0.00,6157,7050,0.00,0.00
16,2,BIMAN BANGLADESH,6072,6762,0.00,0.00,6438,8037,0.03,52.92,5691,5810,0.04,25.50
16,3,BIMAN BANGLADESH,6153,7391,0.02,3.17,3547,4131,7.57,16.09,4168,4219,0.04,1.94
16,4,BIMAN BANGLADESH,5012,5030,0.44,0.37,3824,4330,0.03,2.31,4076,4002,0.18,0.02
17,1,BIMAN BANGLADESH,4019,4727,0.10,2.75,3755,4530,0.02,0.02,3593,4029,0.11,0.04
17,2,BIMAN BANGLADESH,3265,4637,0.05,0.06,3599,5532,0.20,41.80,3589,3101,0.01,24.36
17,3,BIMAN BANGLADESH,2151,3325,0.06,4.07,3396,3775,0.14,0.18,3844,3978,0.15,2.25
17,4,BIMAN BANGLADESH,4422,6289,1.18,0.02,6231,7615,26.03,48.98,7031,6989,4.71,7.22
18,1,BIMAN BANGLADESH,6859,7032,2.19,23.15,6714,6930,13.31,0.54,7156,7842,42.48,19.29
18,2,BIMAN BANGLADESH,7248,8161,32.50,69.47,5842,7822,13.74,108.95,5692,6114,1.15,10.00
18,3,BIMAN BANGLADESH,3631,5782,10.01,0.24,4677,4685,22.65,6.10,3586,5496,39.99,6.83
18,4,BIMAN BANGLADESH,4954,6331,0.04,21.02,4076,5717,3.40,31.39,5875,6438,0.74,28.52
19,1,BIMAN BANGLADESH,4202,6440,0.10,17.16,5234,6403,7.74,38.07,6204,7457,0.04,104.87
19,2,BIMAN BANGLADESH,6917,7481,0.02,93.59,5716,5770,0.03,78.47,8249,8474,1.50,44.52
19,3,BIMAN BANGLADESH,1848,1757,3.95,16.30,5352,7289,1.64,57.60,1192,924,0.09,12.48
19,4,BIMAN BANGLADESH,1735,1414,2.92,5.40,7056,7769,5.47,80.12,7924,8559,0.35,90.14
20,1,BIMAN BANGLADESH,12664,14652,21.69,215.99,3575,4787,0.07,79.77,454,539,0.46,10.04
20,2,BIMAN BANGLADESH,0,162,0.73,0.15,88,702,0.15,7.32,25,162,9.86,10.96
20,4,BIMAN BANGLADESH,73,71,0.13,0.04,220,216,0.04,1.59,373,803,0.03,0.45
21,1,BIMAN BANGLADESH,517,884,0.03,0.40,667,897,0.08,0.28,810,1048,0.08,0.29
21,3,BIMAN BANGLADESH,0,0,29.43,13.80,0,0,172.21,82.63,961,1178,24.43,54.76
21,4,BIMAN BANGLADESH,3470,3611,68.90,136.36,4254,4924,24.57,71.40,5218,5098,8.29,117.03
22,1,BIMAN BANGLADESH,3976,4343,6.15,120.88,2482,2367,13.74,53.73,5888,3405,8.36,137.59
22,2,BIMAN BANGLADESH,6663,5848,10.76,144.15,5901,7608,5.99,69.43,6122,8148,8.17,107.62
22,3,BIMAN BANGLADESH,7501,8755,1.87,60.06,6791,9073,3.68,113.42,8472,6838,1.35,128.78
22,4,BIMAN BANGLADESH,8532,10068,0.21,109.46,8631,9996,0.72,143.39,10547,10975,0.41,120.90
23,1,BIMAN BANGLADESH,10404,11271,0.02,88.95,9985,10094,4.91,103.44,10163,11288,2.76,116.44
23,2,BIMAN BANGLADESH,8609,8308,0.01,70.32,7777,10304,0.03,36.98,7364,7570,1.67,29.22
23,3,BIMAN BANGLADESH,8639,8655,5.92,41.04,7330,7958,56.22,53.77,6780,7644,27.61,53.95
23,4,BIMAN BANGLADESH,7075,8521,9.43,70.56,5970,6989,52.32,88.13,9544,9721,3.55,96.06
24,1,BIMAN BANGLADESH,7789,9956,5.92,82.28,10568,11645,18.84,119.85,9977,11474,41.17,141.22
24,2,BIMAN BANGLADESH,9565,12606,4.25,103.05,6834,8081,10.13,122.11,7867,9113,18.43,91.47
20,2,BLUE DART AVIATION,0,0,134.54,71.03,0,0,557.77,40.69,0,0,536.14,26.54
21,1,BLUE DART AVIATION,0,0,13.06,2.02,0,0,34.23,3.92,0,0,3.09,97.30
21,2,BLUE DART AVIATION,0,0,2.64,64.83,0,0,175.41,16.26,0,0,0.00,68.34
21,3,BLUE DART AVIATION,0,0,0.00,0.00,0,0,0.00,0.00,0,0,554.30,17.89
21,4,BLUE DART AVIATION,0,0,718.35,27.54,0,0,197.22,422.72,0,0,314.76,548.39
22,1,BLUE DART AVIATION,0,0,130.97,7.40,0,0,65.52,5.93,0,0,314.40,23.52
15,1,BRITISH AIRWAYS,6096,6578,200.62,378.50,35529,41691,1234.68,1894.49,37829,51236,1652.00,3090.00
15,2,BRITISH AIRWAYS,28096,47044,1688.00,3142.00,36068,47572,1557.00,3078.00,44104,44580,1475.00,3107.00
15,3,BRITISH AIRWAYS,46742,41056,1548.00,2986.00,35159,49114,1639.00,2891.00,34745,43008,1654.00,2811.00
15,4,BRITISH AIRWAYS,44661,39557,1807.00,2862.00,50277,42085,1334.00,2613.00,0,0,0.00,0.00
16,1,BRITISH AIRWAYS,42283,53556,1365.00,2579.00,41295,44654,1329.00,2513.00,40425,47884,1619.00,3000.00
16,2,BRITISH AIRWAYS,27722,47513,1524.00,3024.00,33859,47470,1760.00,3143.00,45155,42517,1.88,3.02
16,3,BRITISH AIRWAYS,47737,43686,1585.58,2896.23,38068,47885,1613.85,2919.09,35350,42732,1552.08,2928.40
16,4,BRITISH AIRWAYS,42295,33976,1676.84,2912.13,44739,37972,1385.22,2833.86,46917,38994,160.11,285.53
17,1,BRITISH AIRWAYS,44941,48363,1504.08,3013.37,39494,42938,1504.45,2714.90,35972,46690,1838.92,3171.47
17,2,BRITISH AIRWAYS,33009,46084,1803.26,3057.22,35013,46540,1778.60,3166.51,43619,42562,1753.99,3343.42
17,3,BRITISH AIRWAYS,46143,41684,1677.78,3354.61,37413,46803,1756.06,3281.21,41686,35594,3406.86,1656.63
17,4,BRITISH AIRWAYS,43446,35960,1662.98,3571.70,46548,39952,1386.13,3250.50,39932,33694,1109.14,2324.43
18,1,BRITISH AIRWAYS,44920,49603,1439.53,2867.47,41662,44107,1674.96,2526.85,36684,46258,1656.56,2935.10
18,2,BRITISH AIRWAYS,28139,45499,1616.15,3143.39,35845,44860,1652.02,3107.08,44701,42510,1441.90,3042.69
18,3,BRITISH AIRWAYS,46386,43444,1492.57,3052.30,37225,47503,1592.66,3059.86,34716,40368,1503.93,3058.89
18,4,BRITISH AIRWAYS,45466,40255,1675.48,3202.36,43489,40719,1387.86,2907.35,47375,39283,1342.10,3054.21
19,1,BRITISH AIRWAYS,42901,48010,1250.34,3075.21,37934,40901,1383.26,2831.33,36413,47830,1644.76,3246.54
19,2,BRITISH AIRWAYS,28139,45499,1806.12,2953.42,39686,46906,1568.26,3110.00,44173,41678,1527.96,3020.68
19,3,BRITISH AIRWAYS,338454,409496,1348.00,2958.76,38503,50531,1523.25,3127.73,34716,40368,1503.93,10177.89
19,4,BRITISH AIRWAYS,44578,36508,1539.07,3108.37,43638,39554,1328.50,2880.31,46829,38992,1349.12,2782.35
20,1,BRITISH AIRWAYS,39636,51422,1275.52,1948.86,40320,44637,1679.85,2719.92,16432,30011,1059.23,2238.58
20,3,BRITISH AIRWAYS,0,0,0.00,0.00,1610,4001,190.08,945.74,4207,8509,722.92,2444.67
20,4,BRITISH AIRWAYS,12207,9763,1152.78,2618.71,14539,8591,0.00,0.00,13304,7459,736.77,1661.71
21,1,BRITISH AIRWAYS,6541,7753,259.01,602.86,7094,9973,443.21,741.30,10178,6940,500.25,759.64
21,2,BRITISH AIRWAYS,5679,9628,643.28,821.58,1823,5265,630.01,971.93,2858,3313,462.96,978.95
21,3,BRITISH AIRWAYS,6033,5109,617.42,1328.07,9173,12511,728.01,1642.89,12461,20298,947.75,1719.65
21,4,BRITISH AIRWAYS,21040,19872,940.21,1961.27,0,0,0.00,0.00,0,0,0.00,0.00
22,2,BRITISH AIRWAYS,15942,19063,745.19,1243.76,21569,26015,1099.86,1912.42,34443,36916,1236.28,2156.37
22,3,BRITISH AIRWAYS,39010,37214,1446.43,2356.09,31771,45134,1298.99,2443.27,29272,43682,1380.28,2671.88
22,4,BRITISH AIRWAYS,40270,32290,1412.24,2704.80,41762,31720,1372.17,2527.91,54267,45200,1052.09,2954.27
23,1,BRITISH AIRWAYS,52184,56581,1573.62,3282.06,8607,13337,386.72,813.55,39731,55542,1853.36,3492.83
23,2,BRITISH AIRWAYS,33600,49625,1524.18,2784.58,39110,48931,1414.28,2782.24,42588,42194,1135.30,2676.46
23,3,BRITISH AIRWAYS,39010,37392,1446.43,2356.09,41015,56879,1287.54,3010.74,41154,53808,1455.12,2799.85
23,4,BRITISH AIRWAYS,56695,41839,1518.46,3656.12,49245,38118,1235.15,3175.01,54659,46853,1437.99,3371.96
24,1,BRITISH AIRWAYS,54580,57993,1384.17,3416.28,48205,51273,1700.87,3465.78,46418,53911,1792.47,3894.99
24,2,BRITISH AIRWAYS,30713,47122,1461.45,2517.23,39643,45351,1549.72,2957.67,49494,48663,1401.11,3218.90
17,1,BRUSSELS AIRLINES,0,0,0.00,0.00,0,0,0.00,0.00,465,237,8.77,2.15
17,2,BRUSSELS AIRLINES,2829,4925,172.77,246.53,3660,5316,178.76,221.10,5168,4349,119.49,289.86
17,3,BRUSSELS AIRLINES,5485,3789,132.92,207.61,3415,4899,165.75,262.24,3083,4693,182.03,281.21
17,4,BRUSSELS AIRLINES,4175,3039,226.46,336.27,4887,3860,254.62,394.05,6091,3996,229.72,354.29
18,1,BRUSSELS AIRLINES,3950,5978,255.60,277.11,4484,5356,273.72,284.02,3939,5903,296.09,337.52
18,2,BRUSSELS AIRLINES,2608,5058,268.29,269.45,3298,4523,175.05,293.42,4776,4247,169.59,277.49
18,3,BRUSSELS AIRLINES,5379,4603,197.53,256.40,4080,5164,166.47,242.77,2911,4254,141.51,211.61
18,4,BRUSSELS AIRLINES,5136,2835,127.48,241.30,5467,4055,165.86,232.56,5613,3127,169.93,245.98
19,1,BRUSSELS AIRLINES,669,1430,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
16,2,BUDDHA AIR,93,115,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
16,3,BUDDHA AIR,0,0,0.00,0.00,0,0,0.00,0.00,89,86,0.00,0.00
16,4,BUDDHA AIR,80,85,0.00,0.00,61,59,0.00,0.00,0,0,0.00,0.00
17,1,BUDDHA AIR,92,65,0.00,0.00,78,75,0.00,0.00,70,72,0.00,0.00
17,2,BUDDHA AIR,64,60,0.00,0.00,51,46,0.00,0.00,51,90,0.00,0.00
17,3,BUDDHA AIR,0,0,0.00,0.00,0,0,0.00,0.00,77,72,0.00,0.00
17,4,BUDDHA AIR,107,99,0.00,0.00,38,35,0.00,0.00,70,39,0.00,0.00
18,1,BUDDHA AIR,93,82,0.00,0.00,133,142,0.00,0.00,113,114,0.00,0.00
18,2,BUDDHA AIR,212,178,0.00,0.00,0,0,0.00,0.00,38,43,0.00,0.00
18,3,BUDDHA AIR,258,239,0.00,0.00,222,214,0.00,0.00,212,222,0.00,0.00
18,4,BUDDHA AIR,360,299,0.00,0.00,294,317,0.00,0.00,368,282,0.00,0.00
19,1,BUDDHA AIR,295,289,0.00,0.00,353,323,0.00,0.00,400,387,0.00,0.00
19,2,BUDDHA AIR,298,321,0.00,0.00,448,482,0.00,0.00,1017,814,0.00,0.00
19,4,BUDDHA AIR,1086,1123,0.00,0.00,478,310,0.00,0.00,510,316,0.00,0.00
20,1,BUDDHA AIR,362,368,0.00,0.00,243,292,0.00,0.00,143,122,0.00,0.00
22,2,BUDDHA AIR,0,0,0.00,0.00,154,120,0.00,0.00,401,365,0.00,0.00
22,3,BUDDHA AIR,337,305,0.00,0.00,310,239,0.00,0.00,452,374,0.00,0.00
22,4,BUDDHA AIR,443,501,0.00,0.00,508,427,0.00,0.00,554,513,0.00,0.00
23,1,BUDDHA AIR,429,435,0.00,0.00,420,415,0.00,0.00,557,516,0.00,0.00
23,2,BUDDHA AIR,411,387,0.00,0.00,366,366,0.00,0.00,413,379,0.00,0.00
23,4,BUDDHA AIR,480,476,0.00,0.00,515,498,0.00,0.00,588,510,0.00,0.00
24,1,BUDDHA AIR,512,535,0.00,0.00,355,413,0.00,0.00,528,553,0.00,0.00
24,2,BUDDHA AIR,518,523,0.00,0.00,391,294,0.00,0.00,363,272,0.00,0.00
15,1,BUDHHA AIR,213,179,0.00,0.00,261,338,0.00,0.00,116,147,0.00,0.00
15,2,BUDHHA AIR,113,109,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
15,3,BUDHHA AIR,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
15,4,BUDHHA AIR,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
16,1,BUDHHA AIR,0,0,0.00,0.00,45,37,0.00,0.00,42,19,0.00,0.00
16,2,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,0.00,0.00,0,0,0.00,0.00,0,0,623.56,1229.38
16,3,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,550.07,940.40,0,0,492.78,873.66,0,0,476.45,643.31
16,4,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,335.04,537.61,0,0,39.30,136.54,0,0,24.29,201.34
17,1,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,54.05,337.33,0,0,371.93,1006.40,0,0,280.95,0.00
17,2,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,70.27,155.48,0,0,45.45,66.10,0,0,58.70,128.95
17,3,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,78.44,161.08,0,0,91.32,142.53,0,0,96.08,144.64
17,4,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,53.33,120.82,0,0,86.22,125.00,0,0,142.05,205.76
18,1,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,99.14,169.54,0,0,92.69,174.19,0,0,132.66,191.31
18,2,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
15,1,CATHAY PACIFIC,28540,32556,5063.94,13006.67,24480,24752,3921.94,2879.54,29036,33093,4934.82,3775.66
15,2,CATHAY PACIFIC,28804,30975,6460.37,3275.06,63244,70860,7889.61,5543.73,32052,29030,6723.78,3603.33
15,3,CATHAY PACIFIC,32236,27323,6243.81,4022.01,28236,33758,14916.47,3725.09,30593,29452,7223.58,3979.58
15,4,CATHAY PACIFIC,32008,30899,7813.67,4578.30,35969,31629,6377.08,3834.88,26897,33898,6950.66,3781.22
16,1,CATHAY PACIFIC,32401,35953,5965.31,3496.49,25008,28615,4409.85,4209.02,31068,34113,7045.61,5881.68
16,2,CATHAY PACIFIC,29086,35045,6650.41,4612.14,35282,37393,6026.26,4218.71,34809,30993,6599.35,4295.97
16,3,CATHAY PACIFIC,33114,28021,6459.02,3927.26,26782,34036,6441.64,3749.49,30996,30587,8785.98,4032.49
16,4,CATHAY PACIFIC,28899,28366,7073.39,4189.38,32957,28524,6986.51,3215.75,36959,31228,6114.38,3166.65
17,1,CATHAY PACIFIC,31330,32246,6465.97,3407.83,23265,31195,4346.58,3750.45,27854,33477,7562.44,4584.03
17,2,CATHAY PACIFIC,28808,35280,6696.47,3769.63,32334,37284,7052.91,3679.33,35684,33363,7835.01,4467.31
17,3,CATHAY PACIFIC,32892,30758,7528.23,4362.72,23931,33124,8627.85,3732.94,29809,29352,8089.92,4751.93
17,4,CATHAY PACIFIC,29100,29216,7424.45,5619.37,35260,29743,8006.51,4149.63,40775,36634,8109.14,4564.06
18,1,CATHAY PACIFIC,32597,39306,8190.90,5026.19,25962,29412,6051.35,6574.58,31413,36969,7389.57,7532.04
18,2,CATHAY PACIFIC,27368,37203,7121.36,5236.85,31738,39233,7859.36,5575.97,37226,32871,6811.99,5464.23
18,3,CATHAY PACIFIC,32687,33981,7353.74,4360.90,25631,36476,7925.52,4618.56,26757,29843,7548.62,4126.80
18,4,CATHAY PACIFIC,31119,32653,10644.03,4677.14,39764,38279,6429.43,3962.42,47258,40555,7381.72,4527.78
19,1,CATHAY PACIFIC,38095,45141,6989.91,5008.84,28336,36949,3674.92,5030.71,36722,45313,8418.06,6752.85
19,2,CATHAY PACIFIC,35755,44886,7664.82,6931.18,38260,50120,7135.96,5980.64,47396,49903,6965.29,5752.68
19,3,CATHAY PACIFIC,42850,45481,1741.70,1996.57,27278,46830,1842.41,1671.71,33731,39102,7649.54,4971.82
19,4,CATHAY PACIFIC,36599,181048,7093.48,5922.86,48002,42709,7280.98,3986.08,51421,47607,8393.51,9671.71
20,1,CATHAY PACIFIC,42888,43671,6554.32,3558.66,12402,22318,5001.43,5131.24,170,683,195.70,220.95
20,2,CATHAY PACIFIC,0,0,65.34,22.72,0,0,3588.45,2036.71,0,0,4527.51,4017.22
20,3,CATHAY PACIFIC,0,0,5601.76,3561.66,0,0,6414.18,3815.19,0,0,6916.17,4683.32
21,1,CATHAY PACIFIC,0,0,5775.39,3371.47,0,0,6631.51,2378.52,0,0,4073.30,2371.68
21,2,CATHAY PACIFIC,0,0,3214.99,1598.79,0,0,6238.71,2651.40,0,0,23723.92,3730.45
21,3,CATHAY PACIFIC,0,0,6089.03,3647.76,0,0,7170.36,3265.93,0,0,6833.41,3178.34
21,4,CATHAY PACIFIC,0,0,7072.21,3429.74,0,0,6148.77,2602.58,0,0,7062.85,2759.05
22,1,CATHAY PACIFIC,0,0,5795.93,1758.34,0,0,4768.14,2686.72,0,0,6793.11,4043.57
22,2,CATHAY PACIFIC,0,0,7567.29,3675.44,254,1098,7086.02,3354.12,3164,2188,6547.36,3016.07
22,3,CATHAY PACIFIC,2095,5159,5948.13,2558.92,2039,6207,4854.32,1627.01,4083,4912,5932.95,2801.52
22,4,CATHAY PACIFIC,7410,6622,5904.58,2619.37,9653,10810,5169.13,2410.50,14567,13611,4015.45,1894.20
23,1,CATHAY PACIFIC,12596,13319,6168.07,1917.53,4226,10403,5471.98,2776.51,13931,23000,7442.15,3489.46
23,2,CATHAY PACIFIC,20006,23997,6623.89,2766.07,21944,28561,6814.50,2935.74,27385,27762,6816.89,2573.55
23,3,CATHAY PACIFIC,27979,27144,7325.50,2435.44,23300,31547,8565.63,2566.08,26502,26820,6797.46,2732.73
23,4,CATHAY PACIFIC,27739,32661,7038.11,4769.34,35086,32810,6402.42,2374.97,34826,33285,6083.22,2854.24
24,1,CATHAY PACIFIC,28883,35200,6410.49,2685.00,21794,32426,7582.52,4114.90,32571,39555,6992.45,4094.29
24,2,CATHAY PACIFIC,27597,32696,6218.93,2779.09,28117,36030,7060.54,2991.10,36384,33350,7116.56,3063.53
15,1,CHINA AIRLINES LTD,1787,3909,69.32,110.20,1137,4009,54.17,69.62,790,5056,70.80,75.84
15,2,CHINA AIRLINES LTD,659,4301,58.91,99.77,750,5081,83.20,86.40,904,4991,59.32,78.25
15,3,CHINA AIRLINES LTD,919,4699,119.79,91.86,946,4925,75.26,82.32,936,5273,44.39,84.65
